epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8131,1.65397,3.48653,1.59024,0.00282,0.84615,0.12156,0.06374,1.53327,3.66053,1.79018,0.0006,0.0006,0.0006
2,21.7919,1.57104,2.76678,1.57855,0.0035,0.76923,0.29095,0.12924,1.69448,3.69097,1.85998,0.00119584,0.00119584,0.00119584
3,31.9311,1.64082,2.61552,1.66425,0.20329,0.30769,0.14792,0.05828,1.74309,3.61594,2.41104,0.00176714,0.00176714,0.00176714
4,41.4713,1.58694,2.57769,1.6463,0.94763,0.38462,0.43952,0.22134,1.8576,3.33971,2.48919,0.0018812,0.0018812,0.0018812
5,51.0371,1.64887,2.45158,1.64325,0.31693,0.28687,0.15851,0.07695,2.16206,2.83684,2.53679,0.0018416,0.0018416,0.0018416
6,60.618,1.58981,2.21765,1.62327,0.95124,0.30769,0.31705,0.16828,2.07817,2.4056,1.90143,0.001802,0.001802,0.001802
7,70.1745,1.55412,2.11628,1.58872,0.79802,0.38462,0.37876,0.14543,1.93102,2.64095,2.1312,0.0017624,0.0017624,0.0017624
8,80.3983,1.57571,2.00239,1.5971,0.65334,0.46154,0.52009,0.31118,1.85272,2.11908,2.04727,0.0017228,0.0017228,0.0017228
9,90.4327,1.52144,1.88048,1.57919,0.64725,0.38462,0.37673,0.26443,1.85688,2.38723,1.91719,0.0016832,0.0016832,0.0016832
10,100.444,1.52029,1.84397,1.53859,0.62515,0.53846,0.51924,0.31616,1.9824,1.94025,2.01981,0.0016436,0.0016436,0.0016436
11,110.378,1.46286,1.7664,1.51898,0.50476,0.46154,0.47874,0.23147,2.24932,2.04979,2.1566,0.001604,0.001604,0.001604
12,120.11,1.37478,1.63521,1.4456,0.64906,0.46154,0.52194,0.27152,1.76035,1.70494,1.7355,0.0015644,0.0015644,0.0015644
13,129.784,1.46793,1.70651,1.50817,0.71992,0.38462,0.5287,0.28101,1.63942,1.86599,1.70905,0.0015248,0.0015248,0.0015248
14,139.653,1.35038,1.59741,1.45205,0.42684,0.61538,0.47762,0.24563,1.74218,2.59391,1.89183,0.0014852,0.0014852,0.0014852
15,149.378,1.37276,1.56459,1.49141,0.46931,0.61538,0.53179,0.25264,1.87703,2.05753,2.13121,0.0014456,0.0014456,0.0014456
16,159.188,1.29195,1.47221,1.41473,0.62897,0.61538,0.69025,0.37285,1.53558,1.63779,1.73893,0.001406,0.001406,0.001406
17,169.087,1.25203,1.36088,1.34676,0.95114,0.53846,0.65922,0.34047,1.623,1.77465,1.80493,0.0013664,0.0013664,0.0013664
18,178.844,1.21818,1.28955,1.29079,1,0.4604,0.64457,0.29753,1.62274,1.74663,1.72536,0.0013268,0.0013268,0.0013268
19,188.4,1.24475,1.28039,1.33988,0.78406,0.56022,0.70797,0.34832,1.75009,1.53969,1.93323,0.0012872,0.0012872,0.0012872
20,197.986,1.09092,1.13072,1.2619,0.92764,0.46154,0.56096,0.37603,1.6014,1.73408,1.75883,0.0012476,0.0012476,0.0012476
21,207.587,1.14291,1.1775,1.32039,0.77338,0.52629,0.60885,0.3546,1.74028,1.63009,2.00664,0.001208,0.001208,0.001208
22,217.209,1.11287,1.12688,1.27951,0.86945,0.51457,0.60514,0.33764,1.88305,1.40401,2.17746,0.0011684,0.0011684,0.0011684
23,226.999,1.10246,1.07778,1.27382,0.77513,0.53112,0.63024,0.31878,1.76104,1.60523,1.82083,0.0011288,0.0011288,0.0011288
24,236.618,1.09352,1.11897,1.27927,0.68855,0.69231,0.65948,0.4512,1.47158,1.46039,1.68464,0.0010892,0.0010892,0.0010892
25,246.279,1.05425,1.0589,1.2283,0.81732,0.69231,0.7711,0.5094,1.35884,1.34707,1.56274,0.0010496,0.0010496,0.0010496
26,256.016,1.1177,1.01806,1.26054,0.70472,0.61538,0.62633,0.41003,1.50186,1.78834,1.65858,0.00101,0.00101,0.00101
27,265.84,1.03871,1.00896,1.21937,0.68839,0.68055,0.73226,0.45247,1.40336,1.31431,1.60362,0.0009704,0.0009704,0.0009704
28,275.568,1.07403,0.9667,1.2136,0.62381,0.89388,0.8263,0.42457,1.60933,1.29637,1.68122,0.0009308,0.0009308,0.0009308
29,285.349,0.96912,0.95012,1.16732,0.84705,0.76923,0.87143,0.51694,1.57916,1.22818,1.83657,0.0008912,0.0008912,0.0008912
30,295.059,1.03529,0.9502,1.17636,0.76739,0.76188,0.79827,0.51249,1.47772,1.13508,1.83402,0.0008516,0.0008516,0.0008516
31,304.916,0.98112,0.92975,1.19979,0.72719,0.61516,0.64841,0.43132,1.57043,1.62293,1.74749,0.000812,0.000812,0.000812
32,314.674,0.96621,0.88439,1.20375,0.74889,0.53846,0.61729,0.4264,1.28015,1.40707,1.44819,0.0007724,0.0007724,0.0007724
33,324.448,0.93489,0.87192,1.15067,0.57376,0.61538,0.65112,0.44784,1.32079,1.38122,1.57268,0.0007328,0.0007328,0.0007328
34,334.193,0.91862,0.86516,1.14177,0.61581,0.61538,0.72916,0.46091,1.44189,1.46271,1.67816,0.0006932,0.0006932,0.0006932
35,343.872,0.92845,0.85898,1.12001,0.62791,0.92308,0.83679,0.49636,1.3049,1.06138,1.58421,0.0006536,0.0006536,0.0006536
36,353.678,0.90185,0.81751,1.1578,0.87474,0.69231,0.81372,0.50176,1.33332,1.01,1.57978,0.000614,0.000614,0.000614
37,363.552,0.89916,0.84035,1.15797,0.74354,0.76923,0.77123,0.486,1.4972,1.2213,1.64013,0.0005744,0.0005744,0.0005744
38,373.252,0.81823,0.78036,1.08357,0.76963,0.61538,0.65442,0.45113,1.38869,1.38738,1.59413,0.0005348,0.0005348,0.0005348
39,383.105,0.82493,0.76976,1.08297,0.65998,0.61538,0.6436,0.46044,1.41755,1.42777,1.65838,0.0004952,0.0004952,0.0004952
40,392.815,0.7929,0.75446,1.07985,0.62838,0.69231,0.71582,0.42951,1.2825,1.42006,1.55306,0.0004556,0.0004556,0.0004556
41,457.321,0.74732,0.68621,1.01828,0.74202,0.69231,0.73647,0.41669,1.3534,1.23612,1.59553,0.000416,0.000416,0.000416
42,466.977,0.72927,0.61144,1.01283,0.79333,0.69231,0.75946,0.41986,1.57128,1.48899,1.84853,0.0003764,0.0003764,0.0003764
43,476.49,0.69911,0.57919,1.01632,0.75809,0.76923,0.78676,0.42077,1.45637,1.46972,1.73638,0.0003368,0.0003368,0.0003368
44,486.082,0.6763,0.60077,0.97447,0.76168,0.76923,0.74958,0.50267,1.30303,1.19276,1.54998,0.0002972,0.0002972,0.0002972
45,495.728,0.67619,0.57143,0.97702,0.81336,0.76923,0.7717,0.52371,1.34375,1.02067,1.53185,0.0002576,0.0002576,0.0002576
46,505.309,0.64173,0.55973,0.94718,0.81195,0.76923,0.81652,0.5427,1.26743,0.92918,1.48499,0.000218,0.000218,0.000218
47,514.911,0.63221,0.53477,0.95029,0.8446,0.83681,0.85747,0.58873,1.28427,0.93975,1.52585,0.0001784,0.0001784,0.0001784
48,524.515,0.62509,0.5247,0.95928,0.89403,0.76923,0.84493,0.5532,1.33246,1.00146,1.55863,0.0001388,0.0001388,0.0001388
49,534.024,0.57239,0.5251,0.92694,0.90896,0.76923,0.85873,0.51632,1.37648,1.11312,1.58295,9.92e-05,9.92e-05,9.92e-05
50,543.538,0.58854,0.50443,0.92141,0.81627,0.76923,0.84466,0.52834,1.44288,1.2222,1.65566,5.96e-05,5.96e-05,5.96e-05
